file_name,Usage,label
101.png,Public,Other non-passerine bird
102.png,Private,Water-associated bird
103.png,Public,Flycatcher
104.png,Public,Other non-passerine bird
105.png,Private,Antbird
106.png,Private,Tanager
107.png,Private,Water-associated bird
108.png,Private,Other non-passerine bird
109.png,Private,Nocturnal bird
110.png,Public,Bird of prey
111.png,Public,Other non-passerine bird
112.png,Private,Bird of prey
113.png,Public,Water-associated bird
114.png,Private,Other non-passerine bird
115.png,Public,Parrot
116.png,Private,Parrot
117.png,Public,Parrot
118.png,Public,Tanager
119.png,Public,Nocturnal bird
120.png,Public,Ground bird
121.png,Public,Water-associated bird
122.png,Public,Ground bird
123.png,Public,Other non-passerine bird
124.png,Private,Flycatcher
125.png,Private,Other non-passerine bird
126.png,Public,Antbird
127.png,Public,Antbird
128.png,Public,Antbird
129.png,Public,Flycatcher
130.png,Public,Flycatcher
131.png,Public,Bird of prey
132.png,Private,Nocturnal bird
133.png,Private,Flycatcher
134.png,Private,Other non-passerine bird
135.png,Public,Water-associated bird
136.png,Public,Antbird
137.png,Private,Other non-passerine bird
138.png,Public,Bird of prey
139.png,Private,Other non-passerine bird
140.png,Public,Tanager
141.png,Private,Bird of prey
142.png,Public,Flycatcher
143.png,Public,Bird of prey
144.png,Private,Nocturnal bird
145.png,Private,Flycatcher
146.png,Private,Tanager
147.png,Public,Water-associated bird
148.png,Public,Ground bird
149.png,Private,Parrot
150.png,Private,Bird of prey
151.png,Public,Tanager
152.png,Private,Other non-passerine bird
153.png,Private,Nocturnal bird
154.png,Private,Water-associated bird
155.png,Public,Water-associated bird
156.png,Public,Flycatcher
157.png,Private,Bird of prey
158.png,Public,Other non-passerine bird
159.png,Public,Antbird
160.png,Public,Nocturnal bird
161.png,Public,Nocturnal bird
162.png,Private,Tanager
163.png,Private,Other non-passerine bird
164.png,Private,Flycatcher
165.png,Private,Nocturnal bird
166.png,Private,Bird of prey
167.png,Private,Bird of prey
168.png,Public,Nocturnal bird
169.png,Public,Bird of prey
170.png,Public,Flycatcher
171.png,Private,Nocturnal bird
172.png,Private,Water-associated bird
173.png,Public,Flycatcher
174.png,Public,Bird of prey
175.png,Public,Other non-passerine bird
176.png,Private,Tanager
177.png,Public,Bird of prey
178.png,Public,Flycatcher
179.png,Private,Other non-passerine bird
180.png,Private,Other non-passerine bird
181.png,Private,Parrot
182.png,Private,Water-associated bird
183.png,Public,Nocturnal bird
184.png,Public,Bird of prey
185.png,Public,Tanager
186.png,Public,Other non-passerine bird
187.png,Public,Tanager
188.png,Private,Tanager
189.png,Private,Other non-passerine bird
190.png,Public,Other non-passerine bird
191.png,Public,Flycatcher
192.png,Private,Flycatcher
193.png,Private,Flycatcher
194.png,Private,Parrot
195.png,Private,Flycatcher
196.png,Private,Other non-passerine bird
197.png,Private,Flycatcher
198.png,Private,Bird of prey
199.png,Public,Parrot
200.png,Private,Other non-passerine bird
201.png,Private,Ground bird
202.png,Public,Flycatcher
203.png,Private,Antbird
204.png,Private,Flycatcher
205.png,Private,Bird of prey
206.png,Private,Flycatcher
207.png,Public,Water-associated bird
208.png,Private,Bird of prey
209.png,Private,Bird of prey
210.png,Public,Bird of prey
211.png,Public,Bird of prey
212.png,Private,Bird of prey
213.png,Private,Antbird
214.png,Public,Water-associated bird
215.png,Public,Bird of prey
216.png,Private,Water-associated bird
217.png,Private,Nocturnal bird
218.png,Public,Bird of prey
219.png,Private,Flycatcher
220.png,Private,Nocturnal bird
221.png,Public,Ground bird
222.png,Private,Antbird
223.png,Private,Other non-passerine bird
224.png,Public,Bird of prey
225.png,Public,Other non-passerine bird
226.png,Private,Ground bird
227.png,Private,Other non-passerine bird
228.png,Private,Other non-passerine bird
229.png,Private,Other non-passerine bird
230.png,Private,Ground bird
231.png,Public,Bird of prey
232.png,Private,Other non-passerine bird
233.png,Private,Antbird
234.png,Private,Antbird
235.png,Private,Antbird
236.png,Private,Other non-passerine bird
237.png,Public,Flycatcher
238.png,Public,Flycatcher
239.png,Public,Flycatcher
240.png,Private,Flycatcher
241.png,Private,Tanager
242.png,Private,Other non-passerine bird
243.png,Public,Water-associated bird
244.png,Public,Other non-passerine bird
245.png,Public,Flycatcher
246.png,Public,Parrot
247.png,Public,Antbird
248.png,Public,Bird of prey
249.png,Private,Parrot
250.png,Private,Antbird
251.png,Private,Antbird
252.png,Public,Flycatcher
253.png,Private,Flycatcher
254.png,Public,Bird of prey
255.png,Public,Parrot
256.png,Public,Antbird
257.png,Public,Antbird
258.png,Public,Flycatcher
259.png,Private,Ground bird
260.png,Private,Nocturnal bird
261.png,Private,Nocturnal bird
262.png,Public,Flycatcher
263.png,Public,Antbird
264.png,Private,Other non-passerine bird
265.png,Public,Other non-passerine bird
266.png,Private,Parrot
267.png,Public,Bird of prey
268.png,Private,Nocturnal bird
269.png,Private,Parrot
270.png,Public,Bird of prey
271.png,Private,Other non-passerine bird
272.png,Private,Other non-passerine bird
273.png,Private,Other non-passerine bird
274.png,Public,Flycatcher
275.png,Private,Tanager
276.png,Public,Flycatcher
277.png,Public,Bird of prey
278.png,Private,Other non-passerine bird
279.png,Private,Parrot
280.png,Public,Nocturnal bird
281.png,Private,Other non-passerine bird
282.png,Private,Flycatcher
283.png,Public,Flycatcher
284.png,Public,Ground bird
285.png,Private,Ground bird
286.png,Public,Other non-passerine bird
287.png,Private,Other non-passerine bird
288.png,Private,Antbird
289.png,Public,Antbird
290.png,Private,Antbird
291.png,Private,Other non-passerine bird
292.png,Private,Flycatcher
293.png,Private,Other non-passerine bird
294.png,Public,Ground bird
295.png,Private,Parrot
296.png,Private,Water-associated bird
297.png,Public,Water-associated bird
298.png,Private,Other non-passerine bird
299.png,Public,Bird of prey
300.png,Public,Flycatcher
301.png,Public,Other non-passerine bird
302.png,Public,Other non-passerine bird
303.png,Public,Other non-passerine bird
304.png,Public,Other non-passerine bird
305.png,Private,Other non-passerine bird
306.png,Private,Ground bird
307.png,Public,Tanager
308.png,Public,Nocturnal bird
309.png,Private,Water-associated bird
310.png,Private,Water-associated bird
311.png,Public,Other non-passerine bird
312.png,Private,Other non-passerine bird
313.png,Public,Bird of prey
314.png,Private,Nocturnal bird
315.png,Public,Water-associated bird
316.png,Private,Flycatcher
317.png,Private,Ground bird
318.png,Private,Other non-passerine bird
319.png,Public,Other non-passerine bird
320.png,Public,Flycatcher
321.png,Private,Water-associated bird
322.png,Public,Tanager
323.png,Public,Tanager
324.png,Private,Ground bird
325.png,Private,Bird of prey
326.png,Public,Nocturnal bird
327.png,Public,Flycatcher
328.png,Public,Flycatcher
329.png,Public,Nocturnal bird
330.png,Public,Bird of prey
331.png,Private,Parrot
332.png,Private,Water-associated bird
333.png,Public,Tanager
334.png,Private,Water-associated bird
335.png,Private,Water-associated bird
336.png,Private,Water-associated bird
337.png,Private,Water-associated bird
338.png,Private,Flycatcher
339.png,Private,Other non-passerine bird
340.png,Private,Other non-passerine bird
341.png,Public,Bird of prey
342.png,Private,Bird of prey
343.png,Private,Flycatcher
344.png,Public,Water-associated bird
345.png,Public,Nocturnal bird
346.png,Private,Other non-passerine bird
347.png,Private,Antbird
348.png,Private,Water-associated bird
349.png,Public,Water-associated bird
350.png,Public,Other non-passerine bird
351.png,Private,Bird of prey
352.png,Public,Other non-passerine bird
353.png,Public,Parrot
354.png,Public,Flycatcher
355.png,Private,Flycatcher
356.png,Private,Flycatcher
357.png,Private,Flycatcher
358.png,Private,Bird of prey
359.png,Public,Parrot
360.png,Public,Flycatcher
361.png,Private,Flycatcher
362.png,Private,Bird of prey
363.png,Public,Tanager
364.png,Private,Tanager
365.png,Private,Ground bird
366.png,Public,Parrot
367.png,Private,Water-associated bird
368.png,Public,Ground bird
369.png,Public,Nocturnal bird
370.png,Public,Flycatcher
371.png,Public,Flycatcher
372.png,Public,Nocturnal bird
373.png,Private,Other non-passerine bird
374.png,Public,Nocturnal bird
375.png,Private,Other non-passerine bird
376.png,Private,Other non-passerine bird
377.png,Public,Flycatcher
378.png,Private,Ground bird
379.png,Public,Bird of prey
380.png,Private,Other non-passerine bird
381.png,Public,Other non-passerine bird
382.png,Public,Parrot
383.png,Public,Parrot
384.png,Private,Water-associated bird
385.png,Private,Nocturnal bird
386.png,Private,Other non-passerine bird
387.png,Private,Antbird
388.png,Public,Other non-passerine bird
389.png,Private,Flycatcher
390.png,Public,Flycatcher
391.png,Public,Tanager
392.png,Public,Bird of prey
393.png,Public,Flycatcher
394.png,Private,Water-associated bird
395.png,Private,Tanager
396.png,Private,Flycatcher
397.png,Public,Other non-passerine bird
398.png,Private,Parrot
399.png,Private,Other non-passerine bird
400.png,Private,Water-associated bird
401.png,Public,Bird of prey
402.png,Private,Antbird
403.png,Public,Flycatcher
404.png,Private,Flycatcher
405.png,Public,Water-associated bird
406.png,Private,Flycatcher
407.png,Public,Nocturnal bird
408.png,Public,Nocturnal bird
409.png,Private,Flycatcher
410.png,Public,Flycatcher
411.png,Public,Tanager
412.png,Public,Other non-passerine bird
413.png,Private,Parrot
414.png,Public,Flycatcher
415.png,Private,Antbird
416.png,Public,Other non-passerine bird
417.png,Private,Flycatcher
418.png,Private,Bird of prey
419.png,Public,Antbird
420.png,Private,Flycatcher
421.png,Private,Other non-passerine bird
422.png,Private,Bird of prey
423.png,Private,Bird of prey
424.png,Public,Other non-passerine bird
425.png,Public,Nocturnal bird
426.png,Public,Flycatcher
427.png,Public,Parrot
428.png,Private,Bird of prey
429.png,Private,Flycatcher
430.png,Private,Parrot
431.png,Private,Bird of prey
432.png,Public,Flycatcher
433.png,Public,Flycatcher
434.png,Public,Flycatcher
435.png,Private,Flycatcher
436.png,Private,Flycatcher
437.png,Private,Nocturnal bird
438.png,Private,Nocturnal bird
439.png,Public,Other non-passerine bird
440.png,Public,Antbird
441.png,Private,Flycatcher
442.png,Private,Ground bird
443.png,Private,Flycatcher
444.png,Public,Other non-passerine bird
445.png,Public,Parrot
446.png,Private,Tanager
447.png,Public,Flycatcher
448.png,Public,Tanager
449.png,Public,Other non-passerine bird
450.png,Public,Nocturnal bird
451.png,Public,Other non-passerine bird
452.png,Private,Flycatcher
453.png,Public,Other non-passerine bird
454.png,Public,Tanager
455.png,Public,Ground bird
456.png,Private,Other non-passerine bird
457.png,Public,Flycatcher
458.png,Public,Tanager
459.png,Public,Water-associated bird
460.png,Public,Flycatcher
461.png,Public,Water-associated bird
462.png,Private,Antbird
463.png,Private,Antbird
464.png,Public,Flycatcher
465.png,Private,Water-associated bird
466.png,Private,Bird of prey
467.png,Public,Antbird
468.png,Public,Other non-passerine bird
469.png,Private,Flycatcher
470.png,Public,Flycatcher
471.png,Private,Nocturnal bird
472.png,Private,Tanager
473.png,Public,Tanager
474.png,Private,Other non-passerine bird
475.png,Public,Flycatcher
476.png,Private,Antbird
477.png,Public,Flycatcher
478.png,Private,Flycatcher
479.png,Private,Other non-passerine bird
480.png,Public,Flycatcher
481.png,Public,Water-associated bird
482.png,Public,Other non-passerine bird
483.png,Private,Parrot
484.png,Public,Ground bird
485.png,Public,Antbird
486.png,Public,Water-associated bird
487.png,Private,Other non-passerine bird
488.png,Private,Flycatcher
489.png,Private,Antbird
490.png,Public,Antbird
491.png,Private,Other non-passerine bird
492.png,Private,Tanager
493.png,Public,Flycatcher
494.png,Private,Antbird
495.png,Public,Flycatcher
496.png,Private,Flycatcher
497.png,Public,Flycatcher
498.png,Public,Flycatcher
499.png,Public,Flycatcher
500.png,Public,Antbird
501.png,Private,Antbird
502.png,Private,Water-associated bird
503.png,Private,Antbird
504.png,Private,Ground bird
505.png,Private,Parrot
506.png,Private,Water-associated bird
507.png,Public,Bird of prey
508.png,Private,Antbird
509.png,Private,Antbird
510.png,Public,Nocturnal bird
511.png,Public,Other non-passerine bird
512.png,Private,Nocturnal bird
513.png,Private,Nocturnal bird
514.png,Public,Water-associated bird
515.png,Private,Water-associated bird
516.png,Private,Parrot
517.png,Private,Tanager
518.png,Public,Ground bird
519.png,Public,Flycatcher
520.png,Public,Parrot
521.png,Public,Flycatcher
522.png,Public,Other non-passerine bird
523.png,Public,Other non-passerine bird
524.png,Private,Tanager
525.png,Public,Flycatcher
526.png,Public,Other non-passerine bird
527.png,Private,Flycatcher
528.png,Private,Parrot
529.png,Private,Other non-passerine bird
530.png,Private,Tanager
531.png,Public,Tanager
532.png,Public,Flycatcher
533.png,Public,Tanager
534.png,Public,Tanager
535.png,Public,Other non-passerine bird
536.png,Public,Water-associated bird
537.png,Private,Antbird
538.png,Private,Flycatcher
539.png,Private,Ground bird
540.png,Private,Flycatcher
541.png,Public,Bird of prey
542.png,Private,Flycatcher
543.png,Public,Other non-passerine bird
544.png,Public,Bird of prey
545.png,Public,Flycatcher
546.png,Public,Bird of prey
547.png,Public,Water-associated bird
548.png,Public,Flycatcher
549.png,Private,Water-associated bird
550.png,Private,Other non-passerine bird
551.png,Private,Parrot
552.png,Public,Other non-passerine bird
553.png,Public,Ground bird
554.png,Private,Ground bird
555.png,Private,Flycatcher
556.png,Public,Bird of prey
557.png,Private,Nocturnal bird
558.png,Private,Other non-passerine bird
559.png,Private,Tanager
560.png,Public,Tanager
561.png,Public,Nocturnal bird
562.png,Public,Antbird
563.png,Private,Flycatcher
564.png,Public,Flycatcher
565.png,Public,Flycatcher
566.png,Private,Other non-passerine bird
567.png,Private,Other non-passerine bird
568.png,Public,Flycatcher
569.png,Private,Water-associated bird
570.png,Public,Other non-passerine bird
571.png,Public,Other non-passerine bird
572.png,Public,Water-associated bird
573.png,Public,Water-associated bird
574.png,Public,Tanager
575.png,Private,Nocturnal bird
576.png,Private,Parrot
577.png,Private,Parrot
578.png,Private,Flycatcher
579.png,Private,Bird of prey
580.png,Private,Flycatcher
581.png,Private,Other non-passerine bird
582.png,Private,Other non-passerine bird
583.png,Public,Water-associated bird
584.png,Public,Other non-passerine bird
585.png,Private,Antbird
586.png,Private,Other non-passerine bird
587.png,Public,Flycatcher
588.png,Private,Other non-passerine bird
589.png,Private,Bird of prey
590.png,Private,Flycatcher
591.png,Public,Parrot
592.png,Public,Antbird
593.png,Private,Flycatcher
594.png,Public,Parrot
595.png,Private,Flycatcher
596.png,Public,Ground bird
597.png,Private,Water-associated bird
598.png,Public,Parrot
599.png,Private,Other non-passerine bird
600.png,Private,Nocturnal bird
601.png,Private,Nocturnal bird
602.png,Public,Parrot
603.png,Public,Nocturnal bird
604.png,Public,Other non-passerine bird
605.png,Public,Bird of prey
606.png,Public,Bird of prey
607.png,Public,Antbird
608.png,Private,Nocturnal bird
609.png,Public,Flycatcher
610.png,Public,Bird of prey
611.png,Private,Antbird
612.png,Private,Antbird
613.png,Public,Bird of prey
614.png,Private,Flycatcher
615.png,Public,Flycatcher
616.png,Private,Antbird
617.png,Private,Tanager
618.png,Private,Flycatcher
619.png,Private,Flycatcher
620.png,Public,Tanager
621.png,Private,Nocturnal bird
622.png,Private,Other non-passerine bird
623.png,Public,Flycatcher
624.png,Private,Other non-passerine bird
625.png,Private,Parrot
626.png,Public,Parrot
627.png,Private,Water-associated bird
628.png,Private,Water-associated bird
629.png,Public,Parrot
630.png,Private,Antbird
631.png,Public,Other non-passerine bird
632.png,Public,Flycatcher
633.png,Public,Flycatcher
634.png,Private,Nocturnal bird
635.png,Public,Flycatcher
636.png,Private,Other non-passerine bird
637.png,Public,Parrot
638.png,Public,Flycatcher
639.png,Public,Flycatcher
640.png,Public,Water-associated bird
641.png,Private,Other non-passerine bird
642.png,Public,Other non-passerine bird
643.png,Private,Parrot
644.png,Private,Bird of prey
645.png,Public,Bird of prey
646.png,Private,Tanager
647.png,Public,Nocturnal bird
648.png,Public,Flycatcher
649.png,Public,Flycatcher
650.png,Private,Other non-passerine bird
651.png,Public,Flycatcher
652.png,Private,Other non-passerine bird
653.png,Public,Flycatcher
654.png,Public,Flycatcher
655.png,Private,Nocturnal bird
656.png,Public,Ground bird
657.png,Public,Water-associated bird
658.png,Public,Water-associated bird
659.png,Public,Tanager
660.png,Public,Water-associated bird
661.png,Private,Flycatcher
662.png,Public,Other non-passerine bird
663.png,Private,Other non-passerine bird
664.png,Public,Flycatcher
665.png,Public,Antbird
666.png,Public,Ground bird
667.png,Private,Water-associated bird
668.png,Private,Other non-passerine bird
669.png,Private,Other non-passerine bird
670.png,Public,Flycatcher
671.png,Public,Bird of prey
672.png,Private,Other non-passerine bird
673.png,Private,Flycatcher
674.png,Public,Flycatcher
675.png,Private,Ground bird
676.png,Private,Other non-passerine bird
677.png,Private,Tanager
678.png,Private,Nocturnal bird
679.png,Public,Flycatcher
680.png,Private,Tanager
681.png,Public,Bird of prey
682.png,Public,Water-associated bird
683.png,Public,Ground bird
684.png,Public,Bird of prey
685.png,Private,Water-associated bird
686.png,Private,Nocturnal bird
687.png,Private,Parrot
688.png,Public,Flycatcher
689.png,Public,Tanager
690.png,Public,Flycatcher
691.png,Public,Flycatcher
692.png,Private,Flycatcher
693.png,Private,Flycatcher
694.png,Public,Flycatcher
695.png,Private,Flycatcher
696.png,Private,Nocturnal bird
697.png,Public,Nocturnal bird
698.png,Private,Flycatcher
699.png,Public,Flycatcher
700.png,Private,Flycatcher
701.png,Private,Other non-passerine bird
702.png,Public,Parrot
703.png,Public,Flycatcher
704.png,Private,Tanager
705.png,Private,Other non-passerine bird
706.png,Public,Flycatcher
707.png,Public,Flycatcher
708.png,Private,Nocturnal bird
709.png,Public,Bird of prey
710.png,Private,Tanager
711.png,Public,Parrot
712.png,Public,Parrot
713.png,Private,Other non-passerine bird
714.png,Public,Flycatcher
715.png,Public,Bird of prey
716.png,Public,Tanager
717.png,Public,Tanager
718.png,Public,Other non-passerine bird
719.png,Private,Flycatcher
720.png,Public,Flycatcher
721.png,Private,Flycatcher
722.png,Private,Tanager
723.png,Public,Tanager
724.png,Private,Tanager
725.png,Private,Other non-passerine bird
726.png,Private,Other non-passerine bird
727.png,Private,Nocturnal bird
728.png,Public,Other non-passerine bird
729.png,Public,Other non-passerine bird
730.png,Public,Other non-passerine bird
731.png,Public,Nocturnal bird
732.png,Private,Nocturnal bird
733.png,Public,Nocturnal bird
734.png,Private,Ground bird
735.png,Public,Ground bird
736.png,Public,Nocturnal bird
737.png,Public,Other non-passerine bird
738.png,Private,Other non-passerine bird
739.png,Private,Tanager
740.png,Public,Water-associated bird
741.png,Private,Other non-passerine bird
742.png,Public,Other non-passerine bird
743.png,Private,Ground bird
744.png,Private,Water-associated bird
745.png,Public,Water-associated bird
746.png,Public,Water-associated bird
747.png,Private,Flycatcher
748.png,Public,Flycatcher
749.png,Public,Flycatcher
750.png,Private,Nocturnal bird
751.png,Public,Other non-passerine bird
752.png,Public,Ground bird
753.png,Private,Parrot
754.png,Public,Antbird
755.png,Public,Parrot
756.png,Private,Nocturnal bird
757.png,Private,Parrot
758.png,Private,Parrot
759.png,Public,Parrot
760.png,Public,Other non-passerine bird
761.png,Public,Other non-passerine bird
762.png,Private,Antbird
763.png,Private,Flycatcher
764.png,Private,Ground bird
765.png,Public,Water-associated bird
766.png,Private,Antbird
767.png,Public,Nocturnal bird
768.png,Private,Other non-passerine bird
769.png,Private,Parrot
770.png,Private,Water-associated bird
771.png,Private,Parrot
772.png,Public,Water-associated bird
773.png,Public,Water-associated bird
774.png,Public,Other non-passerine bird
775.png,Private,Ground bird
776.png,Public,Other non-passerine bird
777.png,Private,Other non-passerine bird
778.png,Private,Nocturnal bird
779.png,Private,Other non-passerine bird
780.png,Private,Bird of prey
781.png,Public,Bird of prey
782.png,Public,Bird of prey
783.png,Public,Bird of prey
784.png,Private,Bird of prey
785.png,Public,Nocturnal bird
786.png,Public,Nocturnal bird
787.png,Private,Other non-passerine bird
788.png,Public,Other non-passerine bird
789.png,Private,Bird of prey
790.png,Public,Other non-passerine bird
791.png,Private,Other non-passerine bird
792.png,Private,Water-associated bird
793.png,Private,Water-associated bird
794.png,Public,Other non-passerine bird
795.png,Private,Other non-passerine bird
796.png,Public,Flycatcher
797.png,Private,Tanager
798.png,Public,Antbird
799.png,Private,Antbird
800.png,Private,Antbird
801.png,Private,Antbird
802.png,Public,Tanager
803.png,Private,Tanager
804.png,Private,Other non-passerine bird
805.png,Private,Other non-passerine bird
806.png,Private,Water-associated bird
807.png,Public,Parrot
808.png,Public,Flycatcher
809.png,Private,Antbird
810.png,Public,Antbird
811.png,Public,Nocturnal bird
812.png,Public,Antbird
813.png,Public,Antbird
814.png,Private,Antbird
815.png,Public,Flycatcher
816.png,Private,Antbird
817.png,Public,Tanager
818.png,Private,Nocturnal bird
819.png,Private,Flycatcher
820.png,Private,Water-associated bird
821.png,Public,Flycatcher
822.png,Private,Flycatcher
823.png,Private,Other non-passerine bird
824.png,Private,Flycatcher
825.png,Public,Water-associated bird
826.png,Private,Bird of prey
827.png,Private,Water-associated bird
828.png,Private,Tanager
829.png,Private,Tanager
830.png,Public,Other non-passerine bird
831.png,Public,Water-associated bird
832.png,Private,Flycatcher
833.png,Public,Tanager
834.png,Public,Other non-passerine bird
835.png,Private,Flycatcher
836.png,Private,Other non-passerine bird
837.png,Public,Parrot
838.png,Public,Flycatcher
839.png,Private,Flycatcher
840.png,Private,Tanager
841.png,Public,Flycatcher
842.png,Private,Parrot
843.png,Private,Parrot
844.png,Public,Water-associated bird
845.png,Public,Other non-passerine bird
846.png,Private,Bird of prey
847.png,Public,Other non-passerine bird
848.png,Private,Parrot
849.png,Public,Water-associated bird
850.png,Public,Nocturnal bird
851.png,Private,Antbird
852.png,Private,Nocturnal bird
853.png,Private,Other non-passerine bird
854.png,Public,Flycatcher
855.png,Private,Antbird
856.png,Private,Flycatcher
857.png,Public,Antbird
858.png,Private,Other non-passerine bird
859.png,Public,Other non-passerine bird
860.png,Public,Flycatcher
861.png,Public,Flycatcher
862.png,Public,Flycatcher
863.png,Public,Flycatcher
864.png,Private,Flycatcher
865.png,Public,Tanager
866.png,Public,Other non-passerine bird
867.png,Private,Bird of prey
868.png,Public,Bird of prey
869.png,Public,Bird of prey
870.png,Public,Other non-passerine bird
871.png,Public,Water-associated bird
872.png,Private,Flycatcher
873.png,Private,Flycatcher
874.png,Public,Antbird
875.png,Public,Antbird
876.png,Public,Other non-passerine bird
877.png,Private,Flycatcher
878.png,Private,Other non-passerine bird
879.png,Public,Flycatcher
880.png,Public,Flycatcher
881.png,Public,Water-associated bird
882.png,Private,Water-associated bird
883.png,Private,Bird of prey
884.png,Public,Nocturnal bird
885.png,Private,Flycatcher
886.png,Public,Parrot
887.png,Private,Tanager
888.png,Private,Flycatcher
889.png,Private,Other non-passerine bird
890.png,Public,Bird of prey
891.png,Private,Nocturnal bird
892.png,Private,Antbird
893.png,Private,Flycatcher
894.png,Private,Flycatcher
895.png,Public,Nocturnal bird
896.png,Private,Other non-passerine bird
897.png,Public,Water-associated bird
898.png,Public,Water-associated bird
899.png,Private,Water-associated bird
900.png,Public,Water-associated bird
901.png,Private,Water-associated bird
902.png,Private,Bird of prey
903.png,Public,Bird of prey
904.png,Public,Bird of prey
905.png,Private,Water-associated bird
906.png,Private,Water-associated bird
907.png,Private,Water-associated bird
908.png,Private,Water-associated bird
909.png,Private,Water-associated bird
910.png,Public,Water-associated bird
911.png,Public,Other non-passerine bird
912.png,Public,Other non-passerine bird
913.png,Private,Nocturnal bird
914.png,Public,Nocturnal bird
915.png,Public,Nocturnal bird
916.png,Public,Nocturnal bird
917.png,Private,Other non-passerine bird
918.png,Private,Other non-passerine bird
919.png,Public,Other non-passerine bird
920.png,Private,Other non-passerine bird
921.png,Private,Other non-passerine bird
922.png,Private,Other non-passerine bird
923.png,Public,Antbird
924.png,Public,Flycatcher
925.png,Private,Flycatcher
926.png,Public,Flycatcher
927.png,Private,Flycatcher
928.png,Private,Flycatcher
929.png,Private,Flycatcher
930.png,Private,Flycatcher
931.png,Public,Flycatcher
932.png,Public,Flycatcher
933.png,Public,Flycatcher
934.png,Public,Flycatcher
935.png,Public,Tanager
936.png,Private,Tanager
937.png,Public,Tanager
938.png,Private,Tanager
939.png,Public,Tanager
940.png,Private,Water-associated bird
941.png,Public,Bird of prey
942.png,Private,Nocturnal bird
943.png,Public,Antbird
944.png,Public,Flycatcher
945.png,Public,Bird of prey
946.png,Private,Other non-passerine bird
947.png,Private,Nocturnal bird
948.png,Private,Other non-passerine bird
949.png,Private,Antbird
950.png,Private,Water-associated bird
951.png,Private,Ground bird
952.png,Public,Flycatcher
953.png,Private,Flycatcher
954.png,Public,Tanager
955.png,Public,Flycatcher
956.png,Public,Nocturnal bird
957.png,Public,Other non-passerine bird
958.png,Public,Antbird
959.png,Private,Antbird
960.png,Private,Other non-passerine bird
961.png,Private,Bird of prey
962.png,Public,Other non-passerine bird
963.png,Public,Nocturnal bird
964.png,Public,Other non-passerine bird
965.png,Private,Flycatcher
966.png,Private,Tanager
967.png,Private,Water-associated bird
968.png,Public,Other non-passerine bird
969.png,Public,Nocturnal bird
970.png,Private,Ground bird
971.png,Public,Nocturnal bird
